viz-id	ra	dec	marked
1984	189.9153345	0.8239197	false
2098	128.9691719	1.7430692	false
2592	189.9009497	0.6899155	false
2679	2.9976259	-0.3802772	true
3010	128.9095077	0.6512597	true
3410	234.5704697	44.0687131	true
3764	340.8833044	4.1647962	true
4420	128.9734787	1.751226	false
4579	30.522527	-5.0812075	true
5914	232.0557643	42.8500841	false
6239	137.2415627	0.5460031	false
8601	140.0916306	0.8231328	true
12516	179.5301202	-2.3821372	false
12572	17.8143783	-0.6172804	false
13579	129.0043426	1.6626954	false
14159	39.2677744	-5.2657073	false
14490	141.9305912	3.9123099	true
15121	139.939191	0.796652	true
15503	129.1517803	0.4274546	true
16004	34.8261097	-6.7638849	true
16535	34.5261647	-6.9366995	false
19727	140.1670862	1.1298399	false
20492	34.8603795	-6.9239291	false
22085	29.6788089	-1.4870973	false
22993	128.9485208	0.4908716	true
23801	179.6335013	-1.8579121	false
27406	139.9958749	0.8152666	false
27731	352.7861066	0.3469511	true
27795	344.1060203	-1.2076007	true
28752	140.0911815	0.8239588	true
29808	16.8609663	-0.682905	false
30269	15.8729353	-0.6637848	false
30623	29.6350621	-1.5861213	true
32492	18.2921937	-0.205878	false
34242	343.235303	1.1375145	true
34251	352.624557	0.1244857	false
34283	128.9269626	0.6062928	true
34775	34.5994926	-6.4105603	true
34784	34.9136927	-6.6575149	false
35945	34.8253607	-6.7658856	true
39020	345.6394347	1.7372005	false
39295	30.4735679	-5.6466689	false
39383	344.4993381	2.3235711	true
40158	17.0146829	1.0834662	true
42524	18.1775104	-0.245504	false
44517	18.3238671	-0.2380388	false
46552	343.1601467	1.2375356	false
47537	234.6019568	43.4635936	false
49108	233.9231418	43.8266542	false
49570	29.6788344	-1.4871645	false
49902	29.6352512	-1.5822381	true
50034	128.9247062	0.6448028	true
51533	233.8352843	43.4037032	true
52027	135.1029659	3.4610061	false
52188	34.9516088	-6.7119051	false
52366	148.2496019	0.6794538	true
52721	344.1055678	-1.2077695	true
53756	346.0651751	1.7570738	false
54146	344.1088428	-1.2108243	true
56357	30.2662586	-5.1016688	false
56868	181.3356613	1.6302415	false
58058	140.6059442	3.2594213	true
58124	34.8171837	-6.439369	true
60896	343.5045081	1.5303866	true
61186	181.4971913	1.661156	false
62023	225.2442453	42.2664612	false
64545	234.2303577	43.7521976	false
65036	207.8542315	-2.1397243	false
65599	136.8183299	3.4212751	false
65780	35.7539934	-1.8268286	false
66779	232.7964434	42.6081447	false
66859	35.0167471	-6.5756479	false
67306	31.4306196	-6.2347311	false
67405	172.9558276	0.6740145	true
69381	29.1199043	-4.5306946	false
69562	344.1086394	-1.2053155	true
70515	139.997289	0.8145094	false
71155	34.7837996	-6.4670433	false
71597	30.3727674	-5.4058268	true
73208	18.1948652	-0.4412371	false
73274	16.1115721	-0.6998966	false
75028	29.023773	-5.3171829	true
75450	345.9934271	1.8428793	false
75619	16.8497991	-0.6801767	false
75857	232.5133642	43.0474818	true
76754	135.3448214	-1.7284381	true
78849	18.2255078	-0.2820418	false
79982	346.2485375	1.8339379	false
80517	15.8297357	-0.795603	false
80595	173.2547405	0.7769741	false
81369	29.4588018	-1.4737921	false
81835	16.0426966	-0.8356968	false
81913	29.1123375	-4.3816097	false
81931	29.9186563	-6.7604676	true
82032	341.6795235	3.4227385	true
84693	34.5683738	-7.0542598	false
86113	352.6785044	0.232798	false
86927	133.27438	-1.0263794	true
86995	233.738687	43.6229786	false
88436	128.9234867	0.6450133	true
