viz-id ra dec
2111 350.4963127 0.7941724
3726 349.3467807 0.9790504
4032 350.2807156 1.4018211
4365 349.2454373 0.5126942
5269 349.4966491 1.413576
6180 350.2869246 0.4609444
6905 349.8666593 1.0649432
9945 350.3229289 -0.4433799
11833 349.5571652 0.2729984
12205 350.2777224 0.9648286
13047 349.3829521 0.9720155
13965 349.9806174 -0.2678437
14523 350.8765161 0.8556545
16209 349.597025 1.0036701
16701 349.6929645 1.0395281
17808 350.8686226 -0.0382072
17947 350.4126371 1.4732959
20477 349.2908945 0.7271775
21495 349.15946 -0.3078219
21518 350.2428213 1.4341744
21534 350.35837 0.4649426
21538 349.3596191 0.9852905
21696 350.6839277 -0.2041413
21713 349.2633565 1.4216342
22846 349.5078156 1.2179963
23107 349.5539898 -0.2095586
23874 349.9319468 1.1587085
23916 350.2855463 0.5417756
23954 350.1125931 -0.3063006
24384 349.8757106 0.0942939
24951 350.5763593 1.4023572
25272 350.0823889 1.0613471
26443 349.5020667 0.7740093
27471 349.7988073 0.5810263
28542 350.2866959 0.4609532
29548 350.0121286 -0.089986
29798 349.0562259 1.4459677
32006 350.3880984 0.7490498
32787 349.6942529 1.2309152
33696 350.7143067 0.2273405
37608 349.9470364 0.7676276
37832 349.2943869 1.0913525
38462 350.0710422 1.4415057
38911 350.7378753 -0.4064278
39874 349.9943615 1.0830165
40741 350.9466824 1.1514671
41956 349.0927014 1.0997103
43056 349.7649271 1.1521681
43876 350.0337893 0.4043878
44427 350.1077303 0.1383601
44531 349.7845014 0.3445108
45476 350.6591574 0.9251505
47568 350.2017297 0.5252108
48030 350.0376163 1.109642
48544 349.5518132 0.2170544
48725 349.8693336 1.3972572
49809 350.3740487 0.4951888
50179 349.3875076 1.068306
50580 349.3388208 0.9063541
51923 350.6508948 1.1244365
52728 350.6512574 -0.2421432
54233 350.2169576 0.6772309
56311 349.278811 0.8025572
57033 349.5611822 0.2729456
57085 350.4116661 0.7937303
57828 350.2011035 1.198438
57895 350.2563231 0.7835424
59200 350.0417306 0.0842644
59542 350.8369995 1.1614984
59737 349.1565226 0.6268583
59793 350.0436128 -0.0003728
59823 349.3722729 -0.1506796
60411 350.2926385 0.8741216
62850 350.6772073 -0.0084084
63012 349.5743189 -0.4682165
63430 349.6953481 0.3481734
64245 349.8135446 0.9719974
64442 349.033981 -0.3646551
64904 350.5763239 1.4024568
64912 350.0753397 0.2198612
66557 350.4906777 0.857182
66979 349.8757006 0.0942289
67921 349.2048221 0.9234316
68337 349.689031 0.6651734
69854 350.187049 0.2986198
70057 349.6502757 0.0484237
70283 350.3503729 -0.0349803
70674 349.7922162 0.3246275
71391 349.0264477 -0.0250948
71879 350.2929077 0.8741766
71888 350.1581625 0.6691311
72626 350.2801192 0.4105603
73443 349.1408887 0.5454136
74709 350.0578716 1.4985529
74846 349.0432325 0.8616154
76370 350.4901813 1.279798
77426 349.7800949 0.1528782
77706 350.1627072 1.1513281
77780 350.8737649 -0.021981
79056 350.2807349 1.4006702
79108 350.2206467 0.5312577
79385 349.9720671 1.4022908
80559 350.4140351 0.772668
80594 350.1338373 -0.1296102
81853 349.6604165 0.5685017
82811 350.0707575 0.8606424
83068 350.4045979 0.9921609
83101 350.0862233 -0.3523851
83250 350.3363865 1.1894604
83757 349.8756452 0.0943536
83778 350.4770227 0.8868832
84717 350.7542231 0.8655529
85336 349.1739714 0.9834224
86670 349.258856 0.6318022
88460 349.4068531 -0.411486
88825 350.789239 0.5448245
89539 350.0300677 1.4536135
